¿Qué tan preocupado/a te sientes por los problemas ambientales y la falta de sostenibilidad en Querétaro?,¿Crees que la mayoría de las personas en tu comunidad están tomando medidas para adoptar prácticas más sostenibles? ¿Y qué opinas al respecto?,"¿Qué acciones has implementado en tu vida diaria para reducir tu impacto ambiental y adoptar un estilo de vida más ecológico?
",¿Consideras que las autoridades y empresas están haciendo lo suficiente para promover la sostenibilidad y proteger el medio ambiente en Querétaro? ¿Por qué?,"¿Consideras que un proyecto como Hablemos Verde tendría la capacidad de concientizar, motivar y apoyar a personas en tu comunidad a transitar hacia estilos de vida más ecológicos y sostenibles? ¿Por qué sí o por qué no?
"
Algo ,No,"Separar basura, reutilizar y ahorrar la mayor cantidad de agua posible",No,Si
Mucho,"En parte, se puede mejorar en ese aspecto ","Separar la basura, desconectar aparatos, cerrar llaves de agua","No, ya que son pocas las empresas que se preocupan por el medio ambiente ","Mucho, ayudaría a personas a comprender lo importante que es el ambiente no solo para hoy en día sino para generaciones más adelante."
Me siento intrigado,No lo están tomando,La recolección de basura y el separado ,Muy pocas,Estaría genial por las nuevas generaciones que vienen y las actuales 
No lo eh pensado ,"No creo, aún no somos tan conscientes.",Ninguno ,"Desconozco, porque no eh indagado en el tema ",Bastante útil quizá nos haga ser más conscientes de lo que hacemos 
Mucho falta de agua ,Algunas ,Reciclaje ,Desconozco ,Como plataforma informativa esta bien 
"Un poco preocupada, porque no estoy tan adentrada al tema ","No todas, una parte sí, que está bien que lo hagan de alguna manera cuidan igual del ambiente ",La separación de desechos,"Algunas si, pues hay empresas que si se preocupan ","Muy útil, pues ayudará a todos tener más conocimiento de ello de manera interactiva"
"me preocupa mucho, me da miedo que nos extingamos por el plastico","no, siento que el problema es la desinformacion y desinteres",usar transporte publico con gas natural :),"no, porque es evidente que todo tipo de movimiento lo utilizan para sacar dinero",creo que es util ya que nos podría orientar a que practicas son buenas para el medio ambiente
La verdad es algo preocupante el como ha ido evolucionado esta problemática y no hemos podido disminuirla ni un poco pero a su vez es complejo el poder logra un gran cambio con una sola persona desde mi punto de vista si es algo de que preocuparse pero a la mayoría de las personas no les importa ,Alguna persona si están realizando estas prácticas pero es una minoría ya que no es algo de lo que se tengan una disciplina que vaya es algo de que preocuparse en mi opinión está bien el poder ir haciendo stos cambios poco a poco para así poder tener cambios a largo plazo,"Algunas de esta acciones son el uso de energía solar, el reutilizar botellas platicas u otros objetos de plástico para otras funciones de las que fueron creados, etc",La verda no son contables las empresas que hacen ésto ya que no es algo que les interese a las empresas solo les importa el hñgenerar dinero sin importar el daño que esto genere asi que esta platica no es muy promovidad por ellos,Seria una alternativas de gran ayuda oara poder comenzar a cambiar esta forma de pensar que se tiene hoh en dia y a su vez poder dejar alguna huella o camino de mejora para las nuevas generaciones asi que hay que apoyar mas plataformas como hablemos verde 
Mucho,"No, opino que es muy imprudente",Eh tratado de usar menos productos plásticos al igual que usar mi mochila o bolsas reutilizables para cuando hago las compras,"No, porque aun sigue existiendo Coca Cola","No muy util en realidad, creo que el cambio empieza con la voluntad de uno y no por medio de reglas establecidas, sin embargo no significa que no funcionaria"
